city,time,pm2_5,pm10,ozone
Bengaluru,2025-12-11 00:00:00,29.5,30.4,92
Bengaluru,2025-12-11 00:00:00,29.5,30.4,92
Bengaluru,2025-12-11 00:00:00,50.9,53.3,119
Bengaluru,2025-12-11 01:00:00,29.0,29.7,86
Bengaluru,2025-12-11 01:00:00,29.0,29.7,86
Bengaluru,2025-12-11 01:00:00,53.9,56.2,120
Bengaluru,2025-12-11 02:00:00,30.2,30.7,79
Bengaluru,2025-12-11 02:00:00,30.2,30.7,79
Bengaluru,2025-12-11 02:00:00,57.5,59.8,120
Bengaluru,2025-12-11 03:00:00,27.1,27.4,82
Bengaluru,2025-12-11 03:00:00,27.1,27.4,82
Bengaluru,2025-12-11 03:00:00,58.2,60.8,123
Bengaluru,2025-12-11 04:00:00,21.7,22.0,105
Bengaluru,2025-12-11 04:00:00,21.7,22.0,105
Bengaluru,2025-12-11 04:00:00,53.4,56.7,135
Bengaluru,2025-12-11 05:00:00,18.5,18.9,139
Bengaluru,2025-12-11 05:00:00,18.5,18.9,139
Bengaluru,2025-12-11 05:00:00,45.5,48.4,150
Bengaluru,2025-12-11 06:00:00,16.8,17.2,163
Bengaluru,2025-12-11 06:00:00,16.8,17.2,163
Bengaluru,2025-12-11 06:00:00,40.7,43.1,160
Bengaluru,2025-12-11 07:00:00,16.3,16.6,171
Bengaluru,2025-12-11 07:00:00,16.3,16.6,171
Bengaluru,2025-12-11 07:00:00,38.2,40.2,161
Bengaluru,2025-12-11 08:00:00,15.7,16.0,169
Bengaluru,2025-12-11 08:00:00,15.7,16.0,169
Bengaluru,2025-12-11 08:00:00,36.4,38.5,157
Bengaluru,2025-12-11 09:00:00,15.0,15.3,163
Bengaluru,2025-12-11 09:00:00,15.0,15.3,163
Bengaluru,2025-12-11 09:00:00,36.2,38.3,150
Bengaluru,2025-12-11 10:00:00,14.6,15.0,152
Bengaluru,2025-12-11 10:00:00,14.6,15.0,152
Bengaluru,2025-12-11 10:00:00,36.8,38.9,141
Bengaluru,2025-12-11 11:00:00,14.6,15.0,136
Bengaluru,2025-12-11 11:00:00,14.6,15.0,136
Bengaluru,2025-12-11 11:00:00,38.3,40.2,129
Bengaluru,2025-12-11 12:00:00,18.1,18.4,119
Bengaluru,2025-12-11 12:00:00,18.1,18.4,119
Bengaluru,2025-12-11 12:00:00,41.9,43.4,116
Bengaluru,2025-12-11 13:00:00,24.0,24.3,102
Bengaluru,2025-12-11 13:00:00,24.0,24.3,102
Bengaluru,2025-12-11 13:00:00,47.0,48.2,101
Bengaluru,2025-12-11 14:00:00,27.8,28.2,84
Bengaluru,2025-12-11 14:00:00,27.8,28.2,84
Bengaluru,2025-12-11 14:00:00,50.5,51.6,86
Bengaluru,2025-12-11 15:00:00,30.3,30.7,72
Bengaluru,2025-12-11 15:00:00,30.3,30.7,72
Bengaluru,2025-12-11 15:00:00,51.8,53.0,75
Bengaluru,2025-12-11 16:00:00,32.5,32.9,68
Bengaluru,2025-12-11 16:00:00,32.5,32.9,68
Bengaluru,2025-12-11 16:00:00,52.4,53.4,72
Bengaluru,2025-12-11 17:00:00,34.9,35.5,68
Bengaluru,2025-12-11 17:00:00,34.9,35.5,68
Bengaluru,2025-12-11 17:00:00,52.5,53.7,73
Bengaluru,2025-12-11 18:00:00,36.6,37.3,70
Bengaluru,2025-12-11 18:00:00,36.6,37.3,70
Bengaluru,2025-12-11 18:00:00,51.7,52.9,75
Bengaluru,2025-12-11 19:00:00,36.8,37.6,72
Bengaluru,2025-12-11 19:00:00,36.8,37.6,72
Bengaluru,2025-12-11 19:00:00,50.4,51.7,76
Bengaluru,2025-12-11 20:00:00,37.0,38.0,74
Bengaluru,2025-12-11 20:00:00,37.0,38.0,74
Bengaluru,2025-12-11 20:00:00,49.8,51.1,77
Bengaluru,2025-12-11 21:00:00,37.4,38.4,77
Bengaluru,2025-12-11 21:00:00,37.4,38.4,77
Bengaluru,2025-12-11 21:00:00,49.6,51.1,82
Bengaluru,2025-12-11 22:00:00,37.1,38.3,80
Bengaluru,2025-12-11 22:00:00,37.1,38.3,80
Bengaluru,2025-12-11 22:00:00,50.6,52.2,93
Bengaluru,2025-12-11 23:00:00,36.9,38.2,82
Bengaluru,2025-12-11 23:00:00,36.9,38.2,82
Bengaluru,2025-12-11 23:00:00,55.2,57.0,106
Bengaluru,2025-12-12 00:00:00,37.0,38.5,83
Bengaluru,2025-12-12 00:00:00,37.0,38.5,83
Bengaluru,2025-12-12 00:00:00,55.1,56.8,116
Bengaluru,2025-12-12 01:00:00,40.5,42.1,77
Bengaluru,2025-12-12 01:00:00,40.5,42.1,77
Bengaluru,2025-12-12 01:00:00,56.6,58.1,118
Bengaluru,2025-12-12 02:00:00,48.8,50.4,69
Bengaluru,2025-12-12 02:00:00,48.8,50.4,69
Bengaluru,2025-12-12 02:00:00,57.7,59.6,116
Bengaluru,2025-12-12 03:00:00,42.0,43.1,72
Bengaluru,2025-12-12 03:00:00,42.0,43.1,72
Bengaluru,2025-12-12 03:00:00,54.0,55.9,117
Bengaluru,2025-12-12 04:00:00,24.4,25.7,96
Bengaluru,2025-12-12 04:00:00,24.4,25.7,96
Bengaluru,2025-12-12 04:00:00,50.2,52.2,125
Bengaluru,2025-12-12 05:00:00,19.5,20.8,131
Bengaluru,2025-12-12 05:00:00,19.5,20.8,131
Bengaluru,2025-12-12 05:00:00,45.8,47.8,137
Bengaluru,2025-12-12 06:00:00,18.2,19.8,157
Bengaluru,2025-12-12 06:00:00,18.2,19.8,157
Bengaluru,2025-12-12 06:00:00,39.9,42.1,145
Bengaluru,2025-12-12 07:00:00,18.1,20.0,168
Bengaluru,2025-12-12 07:00:00,18.1,20.0,168
Bengaluru,2025-12-12 07:00:00,35.0,37.4,148
Bengaluru,2025-12-12 08:00:00,18.1,20.1,171
Bengaluru,2025-12-12 08:00:00,18.1,20.1,171
Bengaluru,2025-12-12 08:00:00,30.9,33.2,148
Bengaluru,2025-12-12 09:00:00,18.2,20.3,169
Bengaluru,2025-12-12 09:00:00,18.2,20.3,169
Bengaluru,2025-12-12 09:00:00,28.1,30.4,143
Bengaluru,2025-12-12 10:00:00,18.6,20.7,160
Bengaluru,2025-12-12 10:00:00,18.6,20.7,160
Bengaluru,2025-12-12 10:00:00,26.8,29.0,129
Bengaluru,2025-12-12 11:00:00,19.3,21.3,146
Bengaluru,2025-12-12 11:00:00,19.3,21.3,146
Bengaluru,2025-12-12 11:00:00,27.1,29.1,111
Bengaluru,2025-12-12 12:00:00,23.9,25.6,130
Bengaluru,2025-12-12 12:00:00,23.9,25.6,130
Bengaluru,2025-12-12 12:00:00,32.8,34.3,92
Bengaluru,2025-12-12 13:00:00,30.6,32.4,112
Bengaluru,2025-12-12 13:00:00,30.6,32.4,112
Bengaluru,2025-12-12 13:00:00,41.3,42.8,73
Bengaluru,2025-12-12 14:00:00,35.4,37.3,93
Bengaluru,2025-12-12 14:00:00,35.4,37.3,93
Bengaluru,2025-12-12 14:00:00,44.2,45.5,55
Bengaluru,2025-12-12 15:00:00,38.9,40.7,79
Bengaluru,2025-12-12 15:00:00,38.9,40.7,79
Bengaluru,2025-12-12 15:00:00,44.1,45.4,45
Bengaluru,2025-12-12 16:00:00,41.4,43.5,74
Bengaluru,2025-12-12 16:00:00,41.4,43.5,74
Bengaluru,2025-12-12 16:00:00,43.7,44.8,48
Bengaluru,2025-12-12 17:00:00,44.6,46.9,74
Bengaluru,2025-12-12 17:00:00,44.6,46.9,74
Bengaluru,2025-12-12 17:00:00,43.1,44.2,58
Bengaluru,2025-12-12 18:00:00,46.7,49.1,76
Bengaluru,2025-12-12 18:00:00,46.7,49.1,76
Bengaluru,2025-12-12 18:00:00,42.0,43.1,68
Bengaluru,2025-12-12 19:00:00,46.7,49.4,79
Bengaluru,2025-12-12 19:00:00,46.7,49.4,79
Bengaluru,2025-12-12 19:00:00,40.7,41.7,75
Bengaluru,2025-12-12 20:00:00,47.0,49.8,83
Bengaluru,2025-12-12 20:00:00,47.0,49.8,83
Bengaluru,2025-12-12 20:00:00,39.8,40.6,82
Bengaluru,2025-12-12 21:00:00,47.6,50.5,87
Bengaluru,2025-12-12 21:00:00,47.6,50.5,87
Bengaluru,2025-12-12 21:00:00,39.3,40.3,86
Bengaluru,2025-12-12 22:00:00,48.3,51.5,91
Bengaluru,2025-12-12 22:00:00,48.3,51.5,91
Bengaluru,2025-12-12 22:00:00,39.3,40.4,87
Bengaluru,2025-12-12 23:00:00,49.1,52.4,94
Bengaluru,2025-12-12 23:00:00,49.1,52.4,94
Bengaluru,2025-12-12 23:00:00,40.4,41.6,85
Bengaluru,2025-12-13 00:00:00,49.7,53.2,95
Bengaluru,2025-12-13 00:00:00,49.7,53.2,95
Bengaluru,2025-12-13 00:00:00,44.1,45.5,81
Bengaluru,2025-12-13 01:00:00,52.9,56.5,90
Bengaluru,2025-12-13 01:00:00,52.9,56.5,90
Bengaluru,2025-12-13 01:00:00,51.7,53.1,72
Bengaluru,2025-12-13 02:00:00,61.0,64.7,84
Bengaluru,2025-12-13 02:00:00,61.0,64.7,84
Bengaluru,2025-12-13 02:00:00,55.9,57.0,60
Bengaluru,2025-12-13 03:00:00,56.5,59.1,86
Bengaluru,2025-12-13 03:00:00,56.5,59.1,86
Bengaluru,2025-12-13 03:00:00,55.2,56.1,59
Bengaluru,2025-12-13 04:00:00,31.5,34.3,107
Bengaluru,2025-12-13 04:00:00,31.5,34.3,107
Bengaluru,2025-12-13 04:00:00,34.8,37.7,77
Bengaluru,2025-12-13 05:00:00,24.4,26.8,136
Bengaluru,2025-12-13 05:00:00,24.4,26.8,136
Bengaluru,2025-12-13 05:00:00,22.4,26.5,104
Bengaluru,2025-12-13 06:00:00,22.8,24.7,159
Bengaluru,2025-12-13 06:00:00,22.8,24.7,159
Bengaluru,2025-12-13 06:00:00,16.6,20.4,126
Bengaluru,2025-12-13 07:00:00,23.0,24.7,169
Bengaluru,2025-12-13 07:00:00,23.0,24.7,169
Bengaluru,2025-12-13 07:00:00,14.6,17.8,137
Bengaluru,2025-12-13 08:00:00,23.1,24.9,172
Bengaluru,2025-12-13 08:00:00,23.1,24.9,172
Bengaluru,2025-12-13 08:00:00,13.9,16.6,143
Bengaluru,2025-12-13 09:00:00,23.1,24.8,170
Bengaluru,2025-12-13 09:00:00,23.1,24.8,170
Bengaluru,2025-12-13 09:00:00,13.7,16.3,140
Bengaluru,2025-12-13 10:00:00,22.9,24.7,161
Bengaluru,2025-12-13 10:00:00,22.9,24.7,161
Bengaluru,2025-12-13 10:00:00,13.6,16.1,125
Bengaluru,2025-12-13 11:00:00,23.2,24.9,145
Bengaluru,2025-12-13 11:00:00,23.2,24.9,145
Bengaluru,2025-12-13 11:00:00,14.4,17.0,103
Bengaluru,2025-12-13 12:00:00,27.8,29.2,129
Bengaluru,2025-12-13 12:00:00,27.8,29.2,129
Bengaluru,2025-12-13 12:00:00,22.1,24.4,81
Bengaluru,2025-12-13 13:00:00,34.1,35.5,110
Bengaluru,2025-12-13 13:00:00,34.1,35.5,110
Bengaluru,2025-12-13 13:00:00,31.8,34.5,61
Bengaluru,2025-12-13 14:00:00,38.0,39.2,91
Bengaluru,2025-12-13 14:00:00,38.0,39.2,91
Bengaluru,2025-12-13 14:00:00,34.8,37.7,42
Bengaluru,2025-12-13 15:00:00,39.8,41.2,77
Bengaluru,2025-12-13 15:00:00,39.8,41.2,77
Bengaluru,2025-12-13 15:00:00,33.4,36.3,32
Bengaluru,2025-12-13 16:00:00,41.2,42.6,74
Bengaluru,2025-12-13 16:00:00,41.2,42.6,74
Bengaluru,2025-12-13 16:00:00,31.7,34.7,37
Bengaluru,2025-12-13 17:00:00,42.6,44.0,77
Bengaluru,2025-12-13 17:00:00,42.6,44.0,77
Bengaluru,2025-12-13 17:00:00,31.1,34.1,50
Bengaluru,2025-12-13 18:00:00,42.7,44.2,82
Bengaluru,2025-12-13 18:00:00,42.7,44.2,82
Bengaluru,2025-12-13 18:00:00,30.3,33.3,63
Bengaluru,2025-12-13 19:00:00,42.1,43.7,88
Bengaluru,2025-12-13 19:00:00,42.1,43.7,88
Bengaluru,2025-12-13 19:00:00,29.7,32.7,72
Bengaluru,2025-12-13 20:00:00,42.1,43.7,96
Bengaluru,2025-12-13 20:00:00,42.1,43.7,96
Bengaluru,2025-12-13 20:00:00,30.6,33.4,81
Bengaluru,2025-12-13 21:00:00,42.8,44.4,102
Bengaluru,2025-12-13 21:00:00,42.8,44.4,102
Bengaluru,2025-12-13 21:00:00,32.1,34.9,87
Bengaluru,2025-12-13 22:00:00,43.5,45.2,107
Bengaluru,2025-12-13 22:00:00,43.5,45.2,107
Bengaluru,2025-12-13 22:00:00,34.0,36.8,89
Bengaluru,2025-12-13 23:00:00,44.4,45.9,111
Bengaluru,2025-12-13 23:00:00,44.4,45.9,111
Bengaluru,2025-12-13 23:00:00,36.2,39.2,88
Bengaluru,2025-12-14 00:00:00,45.8,47.4,112
Bengaluru,2025-12-14 00:00:00,45.8,47.4,112
Bengaluru,2025-12-14 00:00:00,39.1,42.3,85
Bengaluru,2025-12-14 01:00:00,50.1,51.6,108
Bengaluru,2025-12-14 01:00:00,50.1,51.6,108
Bengaluru,2025-12-14 01:00:00,45.3,48.7,79
Bengaluru,2025-12-14 02:00:00,59.8,61.2,101
Bengaluru,2025-12-14 02:00:00,59.8,61.2,101
Bengaluru,2025-12-14 02:00:00,50.8,53.9,71
Bengaluru,2025-12-14 03:00:00,52.7,53.8,102
Bengaluru,2025-12-14 03:00:00,52.7,53.8,102
Bengaluru,2025-12-14 03:00:00,45.4,47.7,71
Bengaluru,2025-12-14 04:00:00,34.7,36.0,119
Bengaluru,2025-12-14 04:00:00,34.7,36.0,119
Bengaluru,2025-12-14 04:00:00,31.9,34.7,86
Bengaluru,2025-12-14 05:00:00,31.5,32.9,143
Bengaluru,2025-12-14 05:00:00,31.5,32.9,143
Bengaluru,2025-12-14 05:00:00,23.9,25.9,109
Bengaluru,2025-12-14 06:00:00,27.9,29.3,161
Bengaluru,2025-12-14 06:00:00,27.9,29.3,161
Bengaluru,2025-12-14 06:00:00,19.2,21.1,126
Bengaluru,2025-12-14 07:00:00,26.6,28.0,168
Bengaluru,2025-12-14 07:00:00,26.6,28.0,168
Bengaluru,2025-12-14 07:00:00,16.7,18.9,134
Bengaluru,2025-12-14 08:00:00,26.1,27.7,170
Bengaluru,2025-12-14 08:00:00,26.1,27.7,170
Bengaluru,2025-12-14 08:00:00,15.9,18.3,136
Bengaluru,2025-12-14 09:00:00,26.0,27.6,166
Bengaluru,2025-12-14 09:00:00,26.0,27.6,166
Bengaluru,2025-12-14 09:00:00,15.5,18.0,132
Bengaluru,2025-12-14 10:00:00,25.7,27.5,157
Bengaluru,2025-12-14 10:00:00,25.7,27.5,157
Bengaluru,2025-12-14 10:00:00,15.8,18.0,120
Bengaluru,2025-12-14 11:00:00,26.0,27.8,142
Bengaluru,2025-12-14 11:00:00,26.0,27.8,142
Bengaluru,2025-12-14 11:00:00,16.9,18.9,101
Bengaluru,2025-12-14 12:00:00,31.2,32.6,126
Bengaluru,2025-12-14 12:00:00,31.2,32.6,126
Bengaluru,2025-12-14 12:00:00,23.3,24.9,83
Bengaluru,2025-12-14 13:00:00,38.1,39.6,107
Bengaluru,2025-12-14 13:00:00,38.1,39.6,107
Bengaluru,2025-12-14 13:00:00,32.5,34.0,66
Bengaluru,2025-12-14 14:00:00,42.5,43.9,86
Bengaluru,2025-12-14 14:00:00,42.5,43.9,86
Bengaluru,2025-12-14 14:00:00,36.6,38.0,49
Bengaluru,2025-12-14 15:00:00,45.6,47.0,72
Bengaluru,2025-12-14 15:00:00,45.6,47.0,72
Bengaluru,2025-12-14 15:00:00,37.3,38.5,40
Bengaluru,2025-12-14 16:00:00,48.3,49.7,68
Bengaluru,2025-12-14 16:00:00,48.3,49.7,68
Bengaluru,2025-12-14 16:00:00,37.3,38.4,45
Bengaluru,2025-12-14 17:00:00,49.9,51.3,71
Bengaluru,2025-12-14 17:00:00,49.9,51.3,71
Bengaluru,2025-12-14 17:00:00,37.4,38.5,59
Bengaluru,2025-12-14 18:00:00,50.3,51.8,75
Bengaluru,2025-12-14 18:00:00,50.3,51.8,75
Bengaluru,2025-12-14 18:00:00,37.3,38.3,70
Bengaluru,2025-12-14 19:00:00,49.9,51.5,80
Bengaluru,2025-12-14 19:00:00,49.9,51.5,80
Bengaluru,2025-12-14 19:00:00,36.6,37.7,76
Bengaluru,2025-12-14 20:00:00,50.3,51.9,87
Bengaluru,2025-12-14 20:00:00,50.3,51.9,87
Bengaluru,2025-12-14 20:00:00,36.4,37.5,80
Bengaluru,2025-12-14 21:00:00,51.0,52.7,93
Bengaluru,2025-12-14 21:00:00,51.0,52.7,93
Bengaluru,2025-12-14 21:00:00,36.7,37.8,83
Bengaluru,2025-12-14 22:00:00,51.8,53.6,98
Bengaluru,2025-12-14 22:00:00,51.8,53.6,98
Bengaluru,2025-12-14 22:00:00,37.6,38.9,83
Bengaluru,2025-12-14 23:00:00,52.6,54.4,102
Bengaluru,2025-12-14 23:00:00,52.6,54.4,102
Bengaluru,2025-12-14 23:00:00,40.3,41.8,82
Bengaluru,2025-12-15 00:00:00,54.4,56.1,104
Bengaluru,2025-12-15 00:00:00,54.4,56.1,104
Bengaluru,2025-12-15 00:00:00,44.7,46.3,82
Bengaluru,2025-12-15 01:00:00,59.3,61.0,101
Bengaluru,2025-12-15 01:00:00,59.3,61.0,101
Bengaluru,2025-12-15 01:00:00,49.1,50.9,85
Bengaluru,2025-12-15 02:00:00,69.6,71.5,97
Bengaluru,2025-12-15 02:00:00,69.6,71.5,97
Bengaluru,2025-12-15 02:00:00,50.6,52.7,90
Bengaluru,2025-12-15 03:00:00,58.0,59.1,101
Bengaluru,2025-12-15 03:00:00,58.0,59.1,101
Bengaluru,2025-12-15 03:00:00,50.3,52.2,98
Bengaluru,2025-12-15 04:00:00,41.6,43.0,121
Bengaluru,2025-12-15 04:00:00,41.6,43.0,121
Bengaluru,2025-12-15 04:00:00,46.0,48.1,112
Bengaluru,2025-12-15 05:00:00,36.9,38.3,148
Bengaluru,2025-12-15 05:00:00,36.9,38.3,148
Bengaluru,2025-12-15 05:00:00,39.2,41.7,129
Bengaluru,2025-12-15 06:00:00,33.9,35.4,168
Bengaluru,2025-12-15 06:00:00,33.9,35.4,168
Bengaluru,2025-12-15 06:00:00,32.4,34.9,141
Bengaluru,2025-12-15 07:00:00,32.6,34.2,174
Bengaluru,2025-12-15 07:00:00,32.6,34.2,174
Bengaluru,2025-12-15 07:00:00,26.9,29.4,144
Bengaluru,2025-12-15 08:00:00,32.4,34.0,172
Bengaluru,2025-12-15 08:00:00,32.4,34.0,172
Bengaluru,2025-12-15 08:00:00,23.3,25.8,141
Bengaluru,2025-12-15 09:00:00,32.2,34.0,167
Bengaluru,2025-12-15 09:00:00,32.2,34.0,167
Bengaluru,2025-12-15 09:00:00,21.9,24.5,136
Bengaluru,2025-12-15 10:00:00,32.5,34.2,156
Bengaluru,2025-12-15 10:00:00,32.5,34.2,156
Bengaluru,2025-12-15 10:00:00,22.4,25.0,127
Bengaluru,2025-12-15 11:00:00,33.3,35.0,142
Bengaluru,2025-12-15 11:00:00,33.3,35.0,142
Bengaluru,2025-12-15 11:00:00,24.2,26.6,115
